roi,roi_name,network,source_count,target_count,total_count
76,PAL.R,SUB,6,19,25
74,PUT.R,SUB,9,13,22
40,PHG.R,LIM,6,11,17
33,DCG.L,VAN,10,6,16
38,HIP.R,LIM,3,13,16
22,OLF.R,LIM,7,8,15
78,THA.R,SUB,9,4,13
72,CAU.R,SUB,10,1,11
34,DCG.R,VAN,9,2,11
39,PHG.L,LIM,3,8,11
37,HIP.L,LIM,0,11,11
32,ACG.R,VAN,8,1,9
27,REC.L,LIM,6,3,9
31,ACG.L,VAN,2,5,7
18,ROL.R,SMN,3,3,6
88,TPOmid.R,DMN,2,4,6
70,PCL.R,SMN,5,0,5
84,TPOsup.R,DMN,5,0,5
75,PAL.L,SUB,1,4,5
28,REC.R,LIM,4,0,4
77,THA.L,SUB,0,4,4
20,SMA.R,SMN,3,0,3
68,PCUN.R,DMN,2,1,3
80,HES.R,DMN,2,0,2
45,CUN.L,VIS,0,2,2
1,PreCG.L,SMN,1,0,1
2,PreCG.R,SMN,1,0,1
6,ORBsup.R,LIM,1,0,1
13,IFGtriang.L,FPN,1,0,1
14,IFGtriang.R,FPN,1,0,1
19,SMA.L,SMN,1,0,1
21,OLF.L,LIM,1,0,1
29,INS.L,VAN,1,0,1
69,PCL.L,SMN,1,0,1
36,PCG.R,DMN,0,1,1
3,SFGdor.L,FPN,0,0,0
4,SFGdor.R,FPN,0,0,0
5,ORBsup.L,LIM,0,0,0
7,MFG.L,FPN,0,0,0
8,MFG.R,FPN,0,0,0
9,ORBmid.L,LIM,0,0,0
10,ORBmid.R,LIM,0,0,0
11,IFGoperc.L,FPN,0,0,0
12,IFGoperc.R,FPN,0,0,0
15,ORBinf.L,LIM,0,0,0
16,ORBinf.R,LIM,0,0,0
17,ROL.L,SMN,0,0,0
23,SFGmed.L,FPN,0,0,0
24,SFGmed.R,FPN,0,0,0
25,ORBsupmed.L,LIM,0,0,0
26,ORBsupmed.R,LIM,0,0,0
30,INS.R,VAN,0,0,0
35,PCG.L,DMN,0,0,0
41,AMYG.L,VAN,0,0,0
42,AMYG.R,VAN,0,0,0
43,CAL.L,VIS,0,0,0
44,CAL.R,VIS,0,0,0
46,CUN.R,VIS,0,0,0
47,LING.L,VIS,0,0,0
48,LING.R,VIS,0,0,0
49,SOG.L,VIS,0,0,0
50,SOG.R,VIS,0,0,0
51,MOG.L,VIS,0,0,0
52,MOG.R,VIS,0,0,0
53,IOG.L,VIS,0,0,0
54,IOG.R,VIS,0,0,0
55,FFG.L,VIS,0,0,0
56,FFG.R,VIS,0,0,0
57,PoCG.L,SMN,0,0,0
58,PoCG.R,SMN,0,0,0
59,SPG.L,DAN,0,0,0
60,SPG.R,DAN,0,0,0
61,IPL.L,DAN,0,0,0
62,IPL.R,DAN,0,0,0
63,SMG.L,DAN,0,0,0
64,SMG.R,DAN,0,0,0
65,ANG.L,DAN,0,0,0
66,ANG.R,DAN,0,0,0
67,PCUN.L,DMN,0,0,0
71,CAU.L,SUB,0,0,0
73,PUT.L,SUB,0,0,0
79,HES.L,DMN,0,0,0
81,STG.L,DMN,0,0,0
82,STG.R,DMN,0,0,0
83,TPOsup.L,DMN,0,0,0
85,MTG.L,DMN,0,0,0
86,MTG.R,DMN,0,0,0
87,TPOmid.L,DMN,0,0,0
89,ITG.L,DMN,0,0,0
90,ITG.R,DMN,0,0,0
